Species,Distance.m,Angle.degrees
Populus tremula,31.66583377,41.28263619
Quercus robur,45.98499261,44.53591666
Ginkgo biloba,31.24176662,25.14625856
Fraxinus excelsior,34.6166692,23.33612656
Betula pendula,45.46616543,38.34912995
Betula pendula,48.79550174,33.59230899
Populus tremula,30.64723464,29.66806755
Fagus sylvatica,35.06195238,40.68059296
Quercus robur,39.93624667,26.95891767
Quercus robur,48.57092571,26.70285512
Carpinus betulus,41.31449335,33.65081657
Populus tremula,47.19753623,28.05725071
Populus tremula,35.48106118,39.63832049
Ginkgo biloba,34.88624053,38.93652678
Betula pendula,34.11058218,42.02464867
Alnus glutinosa,49.65495802,38.66937157
Ginkgo biloba,40.50304908,31.36656484
Carpinus betulus,35.94431659,26.29363636
Metasequoia glyptostroboides,41.70436268,26.52675177
Ginkgo biloba,37.35541956,43.17250082
Betula pendula,43.47496391,36.23278295
Fagus sylvatica,39.87745247,38.69189643
Populus tremula,31.24502128,23.34007893
Quercus robur,35.92015062,42.85510552
Ginkgo biloba,49.63071605,31.34780594
Carpinus betulus,38.20678096,43.2579337
Pinus sylvestris,30.46276462,35.76723387
Pinus sylvestris,44.34371746,42.69014075
Carpinus betulus,42.39163385,26.07863039
Pinus sylvestris,49.76259449,35.11440143
Populus tremula,46.34715515,29.22380536
Fraxinus excelsior,48.81014164,30.18798408
Betula pendula,39.12051595,40.71533827
Pinus sylvestris,32.09139848,33.03678608
Fraxinus excelsior,30.7957392,36.58762885
Fraxinus excelsior,39.43699494,36.07588491
Carpinus betulus,39.93329503,23.95368763
Quercus robur,47.71637795,31.02381724
Quercus robur,49.75088546,35.12513605
Metasequoia glyptostroboides,40.64818307,30.13898108
Alnus glutinosa,39.09660603,20.84935825
Betula pendula,38.87279458,22.93324057
Carpinus betulus,47.01515136,30.62952135
Alnus glutinosa,34.50936617,25.63233247
Populus tremula,32.02700167,30.79782462
Carpinus betulus,36.41839365,40.80259228
Alnus glutinosa,35.02196721,22.69376612
Ginkgo biloba,40.25158666,24.24764856
Alnus glutinosa,49.31414888,24.23772457
Pinus sylvestris,41.12220596,21.054915
Alnus glutinosa,32.35665862,39.66305979
Populus tremula,39.07683803,28.88528697
Betula pendula,34.76243375,30.13376081
Populus tremula,41.92964192,40.59082102
Ginkgo biloba,36.96348549,42.94920658
Alnus glutinosa,44.73968247,28.35646855
Betula pendula,40.054125,36.70698531
Carpinus betulus,42.34387457,22.64084586
Quercus robur,42.64154123,27.57693229
Quercus robur,43.96284825,39.00752317
Carpinus betulus,31.75230871,41.37193899
Metasequoia glyptostroboides,36.73051951,25.24830935
Fagus sylvatica,35.20530268,26.60251405
Ginkgo biloba,37.13596572,25.77405618
Betula pendula,49.07052899,22.13406287
Ginkgo biloba,37.71778362,38.45130143
Quercus robur,38.69448984,28.81519133
Metasequoia glyptostroboides,43.79340405,43.47477795
Quercus robur,31.13184241,36.42227906
Fraxinus excelsior,46.59265575,40.05471984
Fagus sylvatica,46.81411306,42.27447629
Metasequoia glyptostroboides,43.36381631,25.29685454
Metasequoia glyptostroboides,43.22501469,29.38120548
Metasequoia glyptostroboides,30.37247266,26.02440866
Ginkgo biloba,36.26163671,26.92645384
Fraxinus excelsior,43.05478917,38.55193825
Metasequoia glyptostroboides,31.84664715,27.05795183
Pinus sylvestris,32.14851073,43.56289357
Carpinus betulus,31.96522647,32.41114478
Alnus glutinosa,33.2068144,39.28292466
Ginkgo biloba,46.22073029,22.65150884
Populus tremula,34.67251905,29.01772696
Metasequoia glyptostroboides,31.62829113,27.47973016
Pinus sylvestris,42.45218991,36.41828374
Carpinus betulus,44.03964875,26.93101603
Quercus robur,47.09610828,43.54388302
Populus tremula,32.28397263,32.88688459
Fraxinus excelsior,49.01156805,30.47961136
Populus tremula,43.14072502,28.90619275
Ginkgo biloba,45.54599849,32.2224306
Carpinus betulus,31.21114675,39.5559814
Fraxinus excelsior,42.03059951,37.71487402
Metasequoia glyptostroboides,31.91861822,43.93379774
Pinus sylvestris,41.83786707,30.76715534
Metasequoia glyptostroboides,44.30488198,44.42143243
Populus tremula,33.71065704,22.48946127
Metasequoia glyptostroboides,44.32884716,37.60859235
Ginkgo biloba,38.86127995,23.70119406
Quercus robur,40.29741828,41.52499065
Pinus sylvestris,39.46555886,42.56709678
Metasequoia glyptostroboides,31.19975012,36.44705206
Fraxinus excelsior,49.75811052,20.41880256
Ginkgo biloba,39.04334665,35.73108307
Quercus robur,37.29856108,30.01389449
Metasequoia glyptostroboides,42.37457337,33.75171774
Ginkgo biloba,40.40509278,33.9635875
Betula pendula,40.34856523,32.17561205
Ginkgo biloba,47.1486219,26.67947216
Ginkgo biloba,33.70053729,20.65458242
Carpinus betulus,30.67551901,26.88113766
Quercus robur,31.87009946,23.16491435
Fagus sylvatica,37.50953507,36.58609475
Carpinus betulus,46.13983285,43.97879969
Ginkgo biloba,39.70661873,29.91453559
Alnus glutinosa,41.03784861,22.02381698
Pinus sylvestris,33.4058834,35.99638676
Carpinus betulus,39.50156196,30.29813625
Fagus sylvatica,43.98891512,27.07933612
Carpinus betulus,37.84972703,38.57343537
Alnus glutinosa,43.52885172,36.76198407
